maneuver_id,duration_s,max_altitude_ftagl,max_airspeed_kias,time_at_target_s,takeoff_distance_m,takeoff_distance_ft,airspeed_at_target_kias,pitch_at_target_deg,liftoff_5ft_time_s,liftoff_5ft_distance_m,distance_at_100ft_m,distance_at_200ft_m,end_distance_m,end_altitude_ftagl
1,32.76168,131.72,98.99562,26.92177835735195,705.843435589083,2315.7593031045267,91.97977418937177,9.60764302747129,23.48279156561279,543.9404896534236,875.9603979253573,,998.0831224627533,131.72
2,36.28055,138.51054,90.28286,29.9276815531836,624.0458564114749,2047.3945420242085,84.9962640114821,9.398586067076716,26.454590130889567,472.7961682682005,785.1923359341827,,914.3349584282353,138.51054
3,37.95071,139.97408,89.44151,31.876812961468367,621.0847375196076,2037.6795850299322,85.120602480533,9.330627202314737,28.9166760180572,490.3747385692278,769.4855626564159,,896.1370748141766,139.97408
4,36.48283,149.99609,89.76184,30.57865746974404,666.6484901026788,2187.166962270381,86.96645699161876,9.34372860892145,27.528054461049802,529.9879226128633,807.5998479887801,,937.1028388574841,149.99609
5,37.68325,146.6978,87.09736,31.868253021739132,605.2284909555334,1985.6577787175606,83.75266696056487,9.640777662838392,28.547386528519624,461.96986531440774,743.3076658525899,,863.7595322188513,146.6978
6,32.60817,144.1774,87.30628,26.724059927623205,615.8328989629211,2020.449143571056,83.83937381253428,10.841967930354796,23.64864371682853,483.1825851872944,748.9954624837873,,876.7810648462643,144.1774
7,32.2437,139.34445,85.20531,27.281361710468246,607.1133473002378,1991.8416906096109,83.28953307228916,10.416720807791606,24.23413980452464,475.87523887302194,728.408595662182,,824.4954384484242,139.34445
8,33.367110000000004,140.60637,85.23512,27.899322259329214,590.8333051754795,1938.4294789144233,82.31382791368391,10.791621120458405,24.812468585189258,460.02493821951805,712.8119407965698,,828.2949133603921,140.60637
9,32.64398,147.48601,86.95972,26.319673278582137,603.7777581667935,1980.8981567072783,82.39958115086634,9.70047772399653,23.25096628678773,473.68327608832897,748.4340865847713,,882.9581621198373,147.48601
10,31.52697,145.80348,85.66624,25.994226767123447,611.5179587178917,2006.2925154706222,82.87334500515213,9.953624802975211,22.85768510167993,477.64007426652324,741.9250394422278,,853.4061323960613,145.80348
