"real,time","totl,time","missn,time","timer,time","zulu,time","local,time","hobbs,time","Vind,kias","Vind,keas","Vtrue,ktas","Vtrue,ktgs","Vind,mph","Vtrue,mphas","Vtrue,mphgs","elev,surf","ailrn,surf","ruddr,surf","nwhel,steer","pitch,deg","roll,deg","hding,true","hding,mag","lat,deg","lon,deg","alt,ftmsl","alt,ftagl","on,runwy","alt,ind","lat,orign","lon,orign","thro1,part"
1977.02808,1174.88281,0.00364,0.00000,5.34636,12.34636,0.00256,0.00000,0.15184,0.15208,0.15206,0.00000,0.17501,0.17501,0.03482,0.04187,-0.00136,-0.08816,0.91761,0.25676,65.24131,64.71442,-6.27214,106.87902,88.26725,0.00114,1.00000,0.00825,-6.50000,107.00000,1.00000
1977.12744,1174.98218,0.10309,0.00000,5.34638,12.34638,0.00258,0.00000,1.06911,1.07081,1.07072,0.00000,1.23226,1.23226,0.05419,0.04309,-0.00137,-0.08712,0.73596,0.18934,65.24077,64.71388,-6.27214,106.87902,88.40345,0.13735,1.00000,1.74388,-6.50000,107.00000,1.00000
1977.22717,1175.08191,0.20276,0.00000,5.34641,12.34641,0.00261,0.00000,0.66836,0.66942,0.66941,0.00000,0.77035,0.77035,0.06331,0.04299,-0.00138,-0.08754,0.26187,0.10655,65.24067,64.71378,-6.27214,106.87902,88.55391,0.28791,1.00000,5.74815,-6.50000,107.00000,1.00000
1977.32666,1175.18140,0.30224,0.00000,5.34644,12.34644,0.00264,0.00000,0.34537,0.34592,0.34591,0.00000,0.39808,0.39808,0.07170,0.04200,-0.00137,-0.08790,-0.40557,0.05749,65.24097,64.71409,-6.27214,106.87902,88.60777,0.34193,1.00000,11.13593,-6.50000,107.00000,1.00000
1977.42517,1175.27991,0.40080,0.00000,5.34647,12.34647,0.00267,0.00636,0.42415,0.42482,0.42474,0.00732,0.48888,0.48888,0.06369,0.04152,-0.00139,-0.08782,-1.10899,0.03482,65.24174,64.71486,-6.27214,106.87902,88.60377,0.33817,1.00000,17.22369,-6.50000,107.00000,1.00000
1977.52405,1175.37878,0.49967,0.00000,5.34649,12.34649,0.00269,0.02675,0.37969,0.38030,0.38015,0.03079,0.43764,0.43764,0.05201,0.04136,-0.00136,-0.08786,-1.57717,0.02693,65.24306,64.71618,-6.27214,106.87902,88.60069,0.33535,1.00000,23.63670,-6.50000,107.00000,1.00000
1977.62305,1175.47778,0.59861,0.00000,5.34652,12.34652,0.00272,0.05044,0.27570,0.27613,0.27599,0.05805,0.31777,0.31777,0.04186,0.04103,-0.00130,-0.08797,-1.81945,0.02753,65.24043,64.71354,-6.27214,106.87902,88.60249,0.33733,1.00000,30.05484,-6.50000,107.00000,1.00000
1977.72217,1175.57690,0.69778,0.00000,5.34655,12.34655,0.00275,0.06507,0.16132,0.16157,0.16149,0.07488,0.18593,0.18593,0.03506,0.04104,-0.00126,-0.08810,-1.88898,0.02928,65.23380,64.70691,-6.27214,106.87902,88.60432,0.33929,1.00000,36.27937,-6.50000,107.00000,1.00000
1977.82214,1175.67688,0.79771,0.00000,5.34658,12.34658,0.00278,0.07283,0.07080,0.07091,0.07087,0.08381,0.08160,0.08160,0.03119,0.04105,-0.00124,-0.08819,-1.84857,0.02976,65.22482,64.69793,-6.27214,106.87902,88.60381,0.33888,1.00000,42.20548,-6.50000,107.00000,1.00000
1977.92273,1175.77734,0.89828,0.00000,5.34660,12.34661,0.00280,0.07563,0.02426,0.02430,0.02429,0.08704,0.02797,0.02797,0.03009,0.04102,-0.00125,-0.08825,-1.75875,0.03140,65.21577,64.68888,-6.27214,106.87902,88.60160,0.33669,1.00000,47.73732,-6.50000,107.00000,1.00000
1978.02258,1175.87732,0.99818,0.00000,5.34663,12.34663,0.00283,0.07500,0.01663,0.01666,0.01665,0.08631,0.01917,0.01917,0.03110,0.04128,-0.00126,-0.08825,-1.67115,0.03493,65.20786,64.68098,-6.27214,106.87902,88.59924,0.33433,1.00000,52.76368,-6.50000,107.00000,1.00000
1978.12280,1175.97754,1.09835,0.00000,5.34666,12.34666,0.00286,0.07210,0.03991,0.03998,0.03996,0.08297,0.04600,0.04600,0.03381,0.04142,-0.00126,-0.08823,-1.62000,0.03959,65.20039,64.67350,-6.27214,106.87902,88.59785,0.33296,1.00000,57.32253,-6.50000,107.00000,1.00000
