"real,time","totl,time","missn,time","timer,time","zulu,time","local,time","hobbs,time","Vind,kias","Vind,keas","Vtrue,ktas","Vtrue,ktgs","Vind,mph","Vtrue,mphas","Vtrue,mphgs","elev,surf","ailrn,surf","ruddr,surf","nwhel,steer","pitch,deg","roll,deg","hding,true","hding,mag","lat,deg","lon,deg","alt,ftmsl","alt,ftagl","on,runwy","alt,ind","lat,orign","lon,orign","thro1,part"
2806.14355,1763.75671,63.57242,0.00000,5.50993,12.50993,0.02541,0.00000,0.00021,0.00021,0.00021,0.00000,0.00025,0.00025,0.02282,0.09275,-0.00004,-0.00320,-0.68399,0.12712,65.17732,64.65044,-6.27215,106.87901,87.92263,0.27443,1.00000,87.92264,-6.50000,107.00000,0.00000
2806.25903,1763.89954,63.71526,0.00000,5.50997,12.50997,0.02545,0.00000,0.00014,0.00014,0.00014,0.00000,0.00016,0.00016,0.09658,0.01935,-0.00001,-0.00107,-0.68427,0.12713,65.17720,64.65032,-6.27215,106.87901,87.92263,0.27443,1.00000,87.92263,-6.50000,107.00000,0.00000
2806.35889,1763.99963,63.81533,0.00000,5.51000,12.51000,0.02548,0.00000,0.00004,0.00004,0.00004,0.00000,0.00005,0.00005,0.09679,0.01963,-0.00001,-0.00107,-0.68437,0.12715,65.17716,64.65028,-6.27215,106.87901,87.92263,0.27443,1.00000,87.92263,-6.50000,107.00000,0.00000
2806.45752,1764.09814,63.91376,0.00000,5.51003,12.51003,0.02551,0.00000,0.00005,0.00005,0.00005,0.00000,0.00006,0.00006,0.09697,0.01978,-0.00001,-0.00107,-0.68432,0.12719,65.17687,64.64999,-6.27215,106.87901,87.92263,0.27443,1.00000,87.92262,-6.50000,107.00000,0.00000
2806.55566,1764.19641,64.01210,0.00000,5.51005,12.51005,0.02553,0.00000,0.00014,0.00014,0.00014,0.00000,0.00016,0.00016,0.09697,0.01978,-0.00001,-0.00107,-0.68425,0.12714,65.17687,64.64999,-6.27215,106.87901,87.92262,0.27442,1.00000,87.92259,-6.50000,107.00000,0.00000
2806.65576,1764.29639,64.11211,0.00000,5.51008,12.51008,0.02556,0.00000,0.00033,0.00033,0.00033,0.00000,0.00038,0.00038,0.09698,0.01978,-0.00001,-0.00107,-0.68438,0.12701,65.17687,64.64999,-6.27215,106.87901,87.92262,0.27442,1.00000,87.92262,-6.50000,107.00000,0.00000
2806.75220,1764.39282,64.20850,0.00000,5.51011,12.51011,0.02559,0.00000,0.00039,0.00039,0.00039,0.00000,0.00045,0.00045,0.09699,0.01978,-0.00001,-0.00107,-0.68473,0.12688,65.17687,64.64999,-6.27215,106.87901,87.92262,0.27442,1.00000,87.92262,-6.50000,107.00000,0.00000
2806.85522,1764.49597,64.31158,0.00000,5.51014,12.51014,0.02562,0.00000,0.00043,0.00043,0.00043,0.00000,0.00050,0.00050,0.09699,0.01978,-0.00001,-0.00107,-0.68522,0.12679,65.17686,64.64998,-6.27215,106.87901,87.92263,0.27442,1.00000,87.92264,-6.50000,107.00000,0.00000
2806.95435,1764.59497,64.41063,0.00000,5.51017,12.51017,0.02564,0.00000,0.00052,0.00052,0.00052,0.00000,0.00060,0.00060,0.09699,0.01978,-0.00001,-0.00107,-0.68572,0.12680,65.17686,64.64998,-6.27215,106.87901,87.92265,0.27444,1.00000,87.92264,-6.50000,107.00000,0.00000
2807.05420,1764.69482,64.51046,0.00000,5.51019,12.51019,0.02567,0.00000,0.00061,0.00061,0.00061,0.00000,0.00070,0.00070,0.09700,0.01990,-0.00002,-0.00107,-0.68628,0.12696,65.17685,64.64997,-6.27215,106.87901,87.92268,0.27447,1.00000,87.92262,-6.50000,107.00000,0.00000
2807.15234,1764.79297,64.60869,0.00000,5.51022,12.51022,0.02570,0.00000,0.00059,0.00059,0.00059,0.00000,0.00068,0.00068,0.09700,0.01990,-0.00002,-0.00107,-0.68691,0.12714,65.17684,64.64996,-6.27215,106.87901,87.92271,0.27450,1.00000,87.92259,-6.50000,107.00000,0.00000
2807.25073,1764.89148,64.70714,0.00000,5.51025,12.51025,0.02573,0.00000,0.00046,0.00046,0.00046,0.00000,0.00053,0.00053,0.09718,0.01990,-0.00002,-0.00107,-0.68748,0.12731,65.17684,64.64996,-6.27215,106.87901,87.92273,0.27452,1.00000,87.92256,-6.50000,107.00000,0.00000
2807.34937,1764.99011,64.80578,0.00000,5.51027,12.51027,0.02575,0.00000,0.00033,0.00033,0.00033,0.00000,0.00038,0.00038,0.09698,0.01978,-0.00002,-0.00107,-0.68787,0.12751,65.17683,64.64996,-6.27215,106.87901,87.92275,0.27455,1.00000,87.92259,-6.50000,107.00000,0.00000
2807.44849,1765.08923,64.90491,0.00000,5.51030,12.51030,0.02578,0.00000,0.00014,0.00014,0.00014,0.00000,0.00016,0.00016,0.09716,0.01990,-0.00002,-0.00107,-0.68805,0.12770,65.17684,64.64996,-6.27215,106.87901,87.92277,0.27456,1.00000,87.92261,-6.50000,107.00000,0.00000
2807.54736,1765.18799,65.00362,0.00000,5.51033,12.51033,0.02581,0.00000,0.00012,0.00012,0.00012,0.00000,0.00014,0.00014,0.09715,0.01978,-0.00002,-0.00107,-0.68799,0.12767,65.17684,64.64996,-6.27215,106.87901,87.92275,0.27455,1.00000,87.92255,-6.50000,107.00000,0.00000
2807.64722,1765.28796,65.10368,0.00000,5.51036,12.51036,0.02584,0.00000,0.00022,0.00022,0.00022,0.00000,0.00026,0.00026,0.09696,0.01978,-0.00002,-0.00107,-0.68775,0.12749,65.17683,64.64996,-6.27215,106.87901,87.92273,0.27453,1.00000,87.92252,-6.50000,107.00000,0.00000
2807.74683,1765.38745,65.20309,0.00000,5.51039,12.51039,0.02586,0.00000,0.00037,0.00037,0.00037,0.00000,0.00043,0.00043,0.09695,0.01978,-0.00001,-0.00107,-0.68739,0.12729,65.17684,64.64996,-6.27215,106.87901,87.92271,0.27450,1.00000,87.92255,-6.50000,107.00000,0.00000
2807.84595,1765.48657,65.30223,0.00000,5.51041,12.51041,0.02589,0.00000,0.00054,0.00054,0.00054,0.00000,0.00062,0.00062,0.09713,0.01978,-0.00001,-0.00107,-0.68689,0.12718,65.17684,64.64996,-6.27215,106.87901,87.92269,0.27448,1.00000,87.92255,-6.50000,107.00000,0.00000
2807.94702,1765.58765,65.40332,0.00000,5.51044,12.51044,0.02592,0.00000,0.00054,0.00054,0.00054,0.00000,0.00062,0.00062,0.09712,0.01990,-0.00001,-0.00107,-0.68624,0.12708,65.17669,64.64981,-6.27215,106.87901,87.92266,0.27446,1.00000,87.92255,-6.50000,107.00000,0.00000
2808.04761,1765.68835,65.50402,0.00000,5.51047,12.51047,0.02595,0.00000,0.00032,0.00032,0.00032,0.00000,0.00037,0.00037,0.09713,0.01990,-0.00001,-0.00107,-0.68564,0.12716,65.17654,64.64967,-6.27215,106.87901,87.92266,0.27445,1.00000,87.92255,-6.50000,107.00000,0.00000
2808.14844,1765.78906,65.60479,0.00000,5.51050,12.51050,0.02598,0.00000,0.00010,0.00010,0.00010,0.00000,0.00011,0.00011,0.09697,0.01978,-0.00001,-0.00107,-0.68542,0.12731,65.17654,64.64967,-6.27215,106.87901,87.92267,0.27446,1.00000,87.92255,-6.50000,107.00000,0.00000
2808.24829,1765.88892,65.70461,0.00000,5.51052,12.51052,0.02600,0.00000,0.00026,0.00026,0.00026,0.00000,0.00030,0.00030,0.09717,0.01990,-0.00001,-0.00107,-0.68567,0.12740,65.17654,64.64966,-6.27215,106.87901,87.92268,0.27447,1.00000,87.92252,-6.50000,107.00000,0.00000
2808.34839,1765.98914,65.80483,0.00000,5.51055,12.51055,0.02603,0.00000,0.00030,0.00030,0.00030,0.00000,0.00035,0.00035,0.09700,0.01990,-0.00001,-0.00107,-0.68618,0.12743,65.17654,64.64966,-6.27215,106.87901,87.92268,0.27448,1.00000,87.92256,-6.50000,107.00000,0.00000
2808.44702,1766.08777,65.90339,0.00000,5.51058,12.51058,0.02606,0.00000,0.00032,0.00032,0.00032,0.00000,0.00037,0.00037,0.09718,0.01990,-0.00001,-0.00107,-0.68669,0.12742,65.17653,64.64965,-6.27215,106.87901,87.92269,0.27449,1.00000,87.92258,-6.50000,107.00000,0.00000
2808.54590,1766.18665,66.00234,0.00000,5.51061,12.51061,0.02609,0.00000,0.00029,0.00029,0.00029,0.00000,0.00034,0.00034,0.09717,0.01990,-0.00001,-0.00107,-0.68712,0.12733,65.17653,64.64965,-6.27215,106.87901,87.92269,0.27449,1.00000,87.92260,-6.50000,107.00000,0.00000
