"real,time","totl,time","missn,time","timer,time","zulu,time","local,time","hobbs,time","Vind,kias","Vind,keas","Vtrue,ktas","Vtrue,ktgs","Vind,mph","Vtrue,mphas","Vtrue,mphgs","elev,surf","ailrn,surf","ruddr,surf","nwhel,steer","pitch,deg","roll,deg","hding,true","hding,mag","lat,deg","lon,deg","alt,ftmsl","alt,ftagl","on,runwy","alt,ind","lat,orign","lon,orign","thro1,part","thro2,part"
572.86920,266.60107,266.60107,0.00000,5.09406,12.09406,24.59508,0.00000,0.00038,0.00038,0.00038,0.00000,0.00044,0.00044,-0.00338,0.01985,-0.00005,-0.00046,1.63734,0.10158,65.39429,64.86740,-6.27212,106.87907,87.57417,0.42173,1.00000,87.57411,-6.50000,107.00000,0.00000,0.00000
572.96851,266.70035,266.70035,0.00000,5.09408,12.09408,24.59510,0.00000,0.00032,0.00032,0.00032,0.00000,0.00037,0.00037,-0.00320,0.02013,-0.00005,-0.00046,1.63684,0.10159,65.39449,64.86760,-6.27212,106.87907,87.57420,0.42176,1.00000,87.57408,-6.50000,107.00000,0.00000,0.00000
573.06891,266.80078,266.80078,0.00000,5.09411,12.09411,24.59513,0.00000,0.00025,0.00025,0.00025,0.00000,0.00029,0.00029,-0.00339,0.02025,-0.00005,-0.00046,1.63644,0.10159,65.39474,64.86785,-6.27212,106.87907,87.57422,0.42178,1.00000,87.57407,-6.50000,107.00000,0.00000,0.00000
573.17035,266.90222,266.90222,0.00000,5.09414,12.09414,24.59516,0.00000,0.00020,0.00020,0.00020,0.00000,0.00023,0.00023,-0.00321,0.01985,-0.00005,-0.00046,1.63613,0.10158,65.39484,64.86795,-6.27212,106.87907,87.57423,0.42180,1.00000,87.57401,-6.50000,107.00000,0.00000,0.00000
573.27112,267.00296,267.00296,0.00000,5.09417,12.09417,24.59519,0.00000,0.00018,0.00018,0.00018,0.00000,0.00021,0.00021,-0.00339,0.01970,-0.00005,-0.00046,1.63588,0.10157,65.39484,64.86795,-6.27212,106.87907,87.57425,0.42182,1.00000,87.57405,-6.50000,107.00000,0.00000,0.00000
573.37164,267.10352,267.10352,0.00000,5.09420,12.09420,24.59521,0.00000,0.00017,0.00018,0.00017,0.00000,0.00020,0.00020,-0.00339,0.01985,-0.00005,-0.00046,1.63564,0.10156,65.39484,64.86795,-6.27212,106.87907,87.57426,0.42184,1.00000,87.57408,-6.50000,107.00000,0.00000,0.00000
573.47284,267.20465,267.20465,0.00000,5.09422,12.09422,24.59524,0.00000,0.00013,0.00013,0.00013,0.00000,0.00014,0.00014,-0.00339,0.02040,-0.00005,-0.00046,1.63544,0.10156,65.39486,64.86797,-6.27212,106.87907,87.57427,0.42185,1.00000,87.57405,-6.50000,107.00000,0.00000,0.00000
573.57318,267.30505,267.30505,0.00000,5.09425,12.09425,24.59527,0.00000,0.00007,0.00007,0.00007,0.00000,0.00008,0.00008,-0.00340,0.02080,-0.00005,-0.00046,1.63532,0.10156,65.39487,64.86798,-6.27212,106.87907,87.57427,0.42185,1.00000,87.57408,-6.50000,107.00000,0.00000,0.00000
573.67450,267.40637,267.40637,0.00000,5.09428,12.09428,24.59530,0.00000,0.00039,0.00039,0.00039,0.00000,0.00045,0.00045,-0.00345,0.02092,-0.00005,-0.00046,1.63571,0.10166,65.39486,64.86797,-6.27212,106.87907,87.57426,0.42184,1.00000,87.57415,-6.50000,107.00000,0.00000,0.00000
573.77472,267.50659,267.50659,0.00000,5.09431,12.09431,24.59533,0.00000,0.00073,0.00073,0.00073,0.00000,0.00084,0.00084,-0.00347,0.02025,-0.00005,-0.00046,1.63689,0.10185,65.39487,64.86798,-6.27212,106.87907,87.57420,0.42176,1.00000,87.57415,-6.50000,107.00000,0.00000,0.00000
573.87592,267.60776,267.60776,0.00000,5.09434,12.09434,24.59535,0.00000,0.00067,0.00067,0.00067,0.00000,0.00077,0.00077,-0.00346,0.02013,-0.00005,-0.00046,1.63812,0.10198,65.39487,64.86799,-6.27212,106.87907,87.57413,0.42169,1.00000,87.57416,-6.50000,107.00000,0.00000,0.00000
573.97607,267.70792,267.70792,0.00000,5.09436,12.09436,24.59538,0.00000,0.00019,0.00019,0.00019,0.00000,0.00022,0.00022,-0.00338,0.01946,-0.00005,-0.00046,1.63861,0.10197,65.39491,64.86802,-6.27212,106.87907,87.57410,0.42166,1.00000,87.57413,-6.50000,107.00000,0.00000,0.00000
574.07599,267.80786,267.80786,0.00000,5.09439,12.09439,24.59541,0.00000,0.00020,0.00020,0.00020,0.00000,0.00023,0.00023,-0.00321,0.01985,-0.00005,-0.00046,1.63835,0.10192,65.39517,64.86829,-6.27212,106.87907,87.57412,0.42168,1.00000,87.57413,-6.50000,107.00000,0.00000,0.00000
574.17682,267.90869,267.90869,0.00000,5.09442,12.09442,24.59544,0.00000,0.00037,0.00038,0.00037,0.00000,0.00043,0.00043,-0.00337,0.01985,-0.00005,-0.00046,1.63790,0.10190,65.39528,64.86839,-6.27212,106.87907,87.57414,0.42170,1.00000,87.57416,-6.50000,107.00000,0.00000,0.00000
574.27637,268.00821,268.00821,0.00000,5.09445,12.09445,24.59547,0.00000,0.00043,0.00043,0.00043,0.00000,0.00049,0.00049,-0.00337,0.02013,-0.00005,-0.00046,1.63727,0.10187,65.39527,64.86839,-6.27212,106.87907,87.57417,0.42174,1.00000,87.57414,-6.50000,107.00000,0.00000,0.00000
574.37469,268.10657,268.10657,0.00000,5.09447,12.09447,24.59549,0.00000,0.00038,0.00038,0.00038,0.00000,0.00044,0.00044,-0.00338,0.02025,-0.00005,-0.00046,1.63669,0.10184,65.39527,64.86839,-6.27212,106.87907,87.57420,0.42177,1.00000,87.57413,-6.50000,107.00000,0.00000,0.00000
574.47498,268.20685,268.20685,0.00000,5.09450,12.09450,24.59552,0.00000,0.00031,0.00031,0.00031,0.00000,0.00036,0.00036,-0.00356,0.02013,-0.00005,-0.00046,1.63620,0.10182,65.39526,64.86838,-6.27212,106.87907,87.57423,0.42180,1.00000,87.57415,-6.50000,107.00000,0.00000,0.00000
574.57568,268.30753,268.30753,0.00000,5.09453,12.09453,24.59555,0.00000,0.00023,0.00023,0.00023,0.00000,0.00027,0.00027,-0.00433,0.02837,-0.00005,-0.00046,1.63581,0.10180,65.39529,64.86841,-6.27212,106.87907,87.57425,0.42182,1.00000,87.57414,-6.50000,107.00000,0.00000,0.00000
574.67651,268.40836,268.40836,0.00000,5.09456,12.09456,24.59558,0.00000,0.00006,0.00006,0.00006,0.00000,0.00007,0.00007,-0.00493,0.05498,-0.00005,-0.00046,1.63563,0.10181,65.39558,64.86869,-6.27212,106.87907,87.57426,0.42184,1.00000,87.57413,-6.50000,107.00000,0.00000,0.00000
574.77686,268.50870,268.50870,0.00000,5.09459,12.09459,24.59560,0.00000,0.00037,0.00037,0.00037,0.00000,0.00042,0.00042,-0.00326,0.05675,-0.00005,-0.00046,1.63611,0.10192,65.39585,64.86897,-6.27212,106.87907,87.57423,0.42181,1.00000,87.57417,-6.50000,107.00000,0.00000,0.00000
574.87842,268.61026,268.61026,0.00000,5.09461,12.09461,24.59563,0.00000,0.00057,0.00057,0.00057,0.00000,0.00066,0.00066,-0.00327,0.05202,-0.00005,-0.00046,1.63706,0.10207,65.39602,64.86913,-6.27212,106.87907,87.57418,0.42176,1.00000,87.57416,-6.50000,107.00000,0.00000,0.00000
574.97925,268.71112,268.71112,0.00000,5.09464,12.09464,24.59566,0.00000,0.00038,0.00038,0.00038,0.00000,0.00044,0.00044,-0.00302,0.05257,-0.00005,-0.00046,1.63782,0.10212,65.39601,64.86913,-6.27212,106.87907,87.57414,0.42171,1.00000,87.57416,-6.50000,107.00000,0.00000,0.00000
575.08026,268.81213,268.81213,0.00000,5.09467,12.09467,24.59569,0.00000,0.00004,0.00004,0.00004,0.00000,0.00005,0.00005,-0.00286,0.05187,-0.00005,-0.00046,1.63765,0.10204,65.39601,64.86913,-6.27212,106.87907,87.57416,0.42172,1.00000,87.57417,-6.50000,107.00000,0.00000,0.00000
575.18115,268.91299,268.91299,0.00000,5.09470,12.09470,24.59572,0.00000,0.00009,0.00009,0.00009,0.00000,0.00010,0.00010,-0.00210,0.05229,-0.00005,-0.00046,1.63782,0.10209,65.39601,64.86913,-6.27212,106.87907,87.57415,0.42171,1.00000,87.57416,-6.50000,107.00000,0.00000,0.00000
575.27930,269.01114,269.01114,0.00000,5.09473,12.09473,24.59575,0.00000,0.00011,0.00011,0.00011,0.00000,0.00012,0.00012,-0.00228,0.05119,-0.00005,-0.00046,1.63802,0.10214,65.39602,64.86913,-6.27212,106.87907,87.57413,0.42170,1.00000,87.57417,-6.50000,107.00000,0.00000,0.00000
575.37848,269.11032,269.11032,0.00000,5.09475,12.09475,24.59577,0.00000,0.00009,0.00009,0.00009,0.00000,0.00011,0.00011,-0.00228,0.05174,-0.00005,-0.00046,1.63818,0.10217,65.39603,64.86914,-6.27212,106.87907,87.57413,0.42169,1.00000,87.57422,-6.50000,107.00000,0.00000,0.00000
575.47980,269.21164,269.21164,0.00000,5.09478,12.09478,24.59580,0.00000,0.00006,0.00006,0.00006,0.00000,0.00007,0.00007,-0.00227,0.05162,-0.00005,-0.00046,1.63813,0.10216,65.39602,64.86913,-6.27212,106.87907,87.57413,0.42169,1.00000,87.57418,-6.50000,107.00000,0.00000,0.00000
575.58093,269.31277,269.31277,0.00000,5.09481,12.09481,24.59583,0.00000,0.00003,0.00003,0.00003,0.00000,0.00004,0.00004,-0.00227,0.05174,-0.00005,-0.00046,1.63808,0.10217,65.39602,64.86913,-6.27212,106.87907,87.57413,0.42170,1.00000,87.57417,-6.50000,107.00000,0.00000,0.00000
575.68182,269.41370,269.41370,0.00000,5.09484,12.09484,24.59586,0.00000,0.00001,0.00001,0.00001,0.00000,0.00001,0.00001,-0.00209,0.05119,-0.00005,-0.00046,1.63803,0.10217,65.39602,64.86913,-6.27212,106.87907,87.57413,0.42170,1.00000,87.57418,-6.50000,107.00000,0.00000,0.00000
575.78320,269.51508,269.51508,0.00000,5.09487,12.09486,24.59588,0.00000,0.00005,0.00005,0.00005,0.00000,0.00005,0.00005,-0.00209,0.05092,-0.00005,-0.00046,1.63795,0.10218,65.39602,64.86913,-6.27212,106.87907,87.57414,0.42171,1.00000,87.57421,-6.50000,107.00000,0.00000,0.00000
575.88397,269.61581,269.61581,0.00000,5.09489,12.09489,24.59591,0.00000,0.00002,0.00002,0.00002,0.00000,0.00003,0.00003,-0.00209,0.05119,-0.00005,-0.00046,1.63789,0.10218,65.39601,64.86913,-6.27212,106.87907,87.57414,0.42171,1.00000,87.57424,-6.50000,107.00000,0.00000,0.00000
575.98511,269.71695,269.71695,0.00000,5.09492,12.09492,24.59594,0.00000,0.00013,0.00013,0.00013,0.00000,0.00015,0.00015,-0.00226,0.05162,-0.00005,-0.00046,1.63777,0.10217,65.39601,64.86913,-6.27212,106.87907,87.57415,0.42172,1.00000,87.57425,-6.50000,107.00000,0.00000,0.00000
576.08618,269.81802,269.81802,0.00000,5.09495,12.09495,24.59597,0.00000,0.00025,0.00025,0.00025,0.00000,0.00029,0.00029,-0.00207,0.05174,-0.00005,-0.00046,1.63745,0.10213,65.39601,64.86913,-6.27212,106.87907,87.57417,0.42173,1.00000,87.57423,-6.50000,107.00000,0.00000,0.00000
576.18469,269.91656,269.91656,0.00000,5.09498,12.09498,24.59600,0.00000,0.00031,0.00031,0.00031,0.00000,0.00036,0.00036,-0.00149,0.05080,-0.00005,-0.00046,1.63703,0.10209,65.39601,64.86913,-6.27212,106.87907,87.57419,0.42175,1.00000,87.57420,-6.50000,107.00000,0.00000,0.00000
576.28351,270.01535,270.01535,0.00000,5.09500,12.09500,24.59602,0.00000,0.00038,0.00038,0.00038,0.00000,0.00044,0.00044,-0.00017,0.04997,-0.00005,-0.00046,1.63653,0.10204,65.39600,64.86911,-6.27212,106.87907,87.57421,0.42179,1.00000,87.57415,-6.50000,107.00000,0.00000,0.00000
576.38397,270.11578,270.11578,0.00000,5.09503,12.09503,24.59605,0.00000,0.00034,0.00034,0.00034,0.00000,0.00039,0.00039,-0.00036,0.04945,-0.00005,-0.00046,1.63600,0.10199,65.39600,64.86912,-6.27212,106.87907,87.57424,0.42182,1.00000,87.57418,-6.50000,107.00000,0.00000,0.00000
576.48474,270.21658,270.21658,0.00000,5.09506,12.09506,24.59608,0.00000,0.00023,0.00023,0.00023,0.00000,0.00027,0.00027,-0.00037,0.05092,-0.00005,-0.00046,1.63560,0.10196,65.39600,64.86911,-6.27212,106.87907,87.57426,0.42184,1.00000,87.57424,-6.50000,107.00000,0.00000,0.00000
