"real,time","totl,time","missn,time","timer,time","zulu,time","local,time","hobbs,time","Vind,kias","Vind,keas","Vtrue,ktas","Vtrue,ktgs","Vind,mph","Vtrue,mphas","Vtrue,mphgs","elev,surf","ailrn,surf","ruddr,surf","nwhel,steer","pitch,deg","roll,deg","hding,true","hding,mag","lat,deg","lon,deg","alt,ftmsl","alt,ftagl","on,runwy","alt,ind","lat,orign","lon,orign","thro1,part","thro2,part"
1408.70618,810.54944,11.19920,0.00000,5.24515,12.24515,0.05192,0.00000,0.00191,0.00191,0.00191,0.00000,0.00220,0.00220,-0.96115,0.02108,-0.00106,-0.07370,1.14551,0.28765,0.02306,359.49619,-6.27214,106.87901,87.69221,0.33068,1.00000,87.69184,-6.50000,107.00000,0.00000,0.00000
1408.80737,810.65057,11.30034,0.00000,5.24518,12.24518,0.05195,0.00000,0.00149,0.00149,0.00149,0.00000,0.00172,0.00172,-0.96115,0.02107,-0.00106,-0.07370,1.14341,0.28752,0.02365,359.49677,-6.27214,106.87901,87.69230,0.33077,1.00000,87.69184,-6.50000,107.00000,0.00000,0.00000
1408.90759,810.75079,11.40059,0.00000,5.24521,12.24521,0.05198,0.00000,0.00106,0.00106,0.00106,0.00000,0.00122,0.00122,-0.96115,0.02106,-0.00106,-0.07370,1.14127,0.28832,0.02437,359.49750,-6.27214,106.87901,87.69231,0.33077,1.00000,87.69180,-6.50000,107.00000,0.00000,0.00000
1409.00806,810.85126,11.50102,0.00000,5.24524,12.24524,0.05200,0.00000,0.00063,0.00063,0.00063,0.00000,0.00073,0.00073,-0.96115,0.02107,-0.00106,-0.07370,1.14007,0.28887,0.02502,359.49814,-6.27214,106.87901,87.69228,0.33074,1.00000,87.69183,-6.50000,107.00000,0.00000,0.00000
1409.10840,810.95166,11.60144,0.00000,5.24526,12.24526,0.05203,0.00000,0.00250,0.00250,0.00250,0.00000,0.00288,0.00288,-0.96116,0.02108,-0.00106,-0.07370,1.14127,0.28902,0.02553,359.49866,-6.27214,106.87901,87.69209,0.33056,1.00000,87.69186,-6.50000,107.00000,0.00000,0.00000
1409.20886,811.05206,11.70185,0.00000,5.24529,12.24529,0.05206,0.00000,0.00373,0.00374,0.00374,0.00000,0.00430,0.00430,-0.96116,0.02110,-0.00105,-0.07370,1.14508,0.28775,0.02536,359.49847,-6.27214,106.87901,87.69183,0.33030,1.00000,87.69193,-6.50000,107.00000,0.00000,0.00000
1409.30811,811.15137,11.80112,0.00000,5.24532,12.24532,0.05209,0.00000,0.00368,0.00368,0.00368,0.00000,0.00424,0.00424,-0.96116,0.02109,-0.00104,-0.07370,1.14978,0.28586,0.02472,359.49783,-6.27214,106.87901,87.69162,0.33009,1.00000,87.69196,-6.50000,107.00000,0.00000,0.00000
1409.40747,811.25073,11.90050,0.00000,5.24535,12.24535,0.05211,0.00000,0.00292,0.00293,0.00293,0.00000,0.00337,0.00337,-0.96116,0.02109,-0.00105,-0.07370,1.15365,0.28435,0.02434,359.49747,-6.27214,106.87901,87.69155,0.33003,1.00000,87.69195,-6.50000,107.00000,0.00000,0.00000
1409.50635,811.34955,11.99936,0.00000,5.24537,12.24537,0.05214,0.00000,0.00180,0.00180,0.00180,0.00000,0.00208,0.00208,-0.96115,0.02107,-0.00105,-0.07370,1.15584,0.28368,0.02441,359.49753,-6.27214,106.87901,87.69156,0.33003,1.00000,87.69188,-6.50000,107.00000,0.00000,0.00000
1409.60571,811.44897,12.09873,0.00000,5.24540,12.24540,0.05217,0.00000,0.00076,0.00076,0.00076,0.00000,0.00087,0.00087,-0.96115,0.02107,-0.00105,-0.07370,1.15623,0.28388,0.02442,359.49753,-6.27214,106.87901,87.69162,0.33010,1.00000,87.69189,-6.50000,107.00000,0.00000,0.00000
1409.70471,811.54791,12.19771,0.00000,5.24543,12.24543,0.05220,0.00000,0.00057,0.00057,0.00057,0.00000,0.00065,0.00065,-0.96115,0.02106,-0.00105,-0.07370,1.15515,0.28463,0.02437,359.49750,-6.27214,106.87901,87.69169,0.33016,1.00000,87.69189,-6.50000,107.00000,0.00000,0.00000
